step,ss_mse,ss_mse_db,family,snr_db,seed
412000,0.09284825406027719,-10.322262584151236,gaussian,5.0,7
412000,0.09871800254817732,-10.05603640695825,impulsive,0.0,7
412000,0.0010007986828317033,-29.996532744627224,gaussian,20.0,7
412000,0.10194921995718231,-9.916160927809178,colored,10.0,7
416000,0.014543859450301296,-18.3732033102937,impulsive,10.0,7
416000,0.1981866665528609,-7.029255669893293,gaussian,5.0,7
416000,1.4570887553765923,1.6348600667509103,gaussian,0.0,7
416000,0.002571805489146179,-25.897618809074515,gaussian,15.0,7
420000,0.30131238247990466,-5.209830205582058,impulsive,5.0,7
420000,0.010342745090888568,-19.853641788401294,impulsive,10.0,7
420000,0.0022654090003952953,-26.448533781926354,colored,15.0,7
420000,0.058033266624331566,-12.363229828142849,time_varying,20.0,7
424000,0.16517941976692807,-7.820440637832008,colored,0.0,7
424000,0.00557433042563652,-22.538072914153823,colored,15.0,7
424000,0.014532011379897814,-18.376742706868907,gaussian,10.0,7
424000,0.07828581021187674,-11.06316949368788,impulsive,0.0,7
428000,0.00206443477224132,-26.851988343048397,colored,15.0,7
428000,0.0039414251940990295,-24.04346711563104,gaussian,10.0,7
428000,0.0028366259779016106,-25.471979239882735,gaussian,20.0,7
428000,0.036792858926589844,-14.342364647310825,time_varying,10.0,7
432000,0.02096316034366877,-16.785432437881777,time_varying,5.0,7
432000,0.33208546644861403,-4.787501306613267,time_varying,5.0,7
432000,0.0011947412211769308,-29.227261515785653,colored,20.0,7
432000,0.0015622968100703965,-28.062364537080875,colored,20.0,7
436000,0.007834842418582729,-21.059697339744456,gaussian,10.0,7
436000,0.1785876445214513,-7.48148590807692,colored,10.0,7
436000,1.0540626599106966,0.22866428756054746,impulsive,5.0,7
436000,0.3412852561842242,-4.66882473208933,time_varying,20.0,7
440000,0.8521169670983582,-0.6950078706520935,impulsive,10.0,7
440000,0.05019243631657629,-12.993617233536117,time_varying,20.0,7
440000,0.004588530047521585,-23.383264199225074,gaussian,10.0,7
